Number of Fairs Attended,Internship Applications,Job Applications,Fellowship Applications,Graduate School,Cooperative Education,Experiential Learning,On Campus Student Employment,Volunteer,First Gen,College_fds_2024,Number of Internships,Career Readiness,Alignment,Q10.4_fds_2024,Q10.5_fds_2024
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
10,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,True,College and Graduate School of Arts & Sciences,0,5.0,5.0,4.0,5.0
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
4,8.0,180.0,0.0,0.0,0.0,0.0,12.0,0.0,False,College and Graduate School of Arts & Sciences,,,,,
6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,False,College and Graduate School of Arts & Sciences,0,10.0,8.0,8.0,10.0
2,4.0,144.0,76.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,164.0,202.0,20.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,
13,86.0,44.0,0.0,0.0,0.0,0.0,12.0,0.0,False,College and Graduate School of Arts & Sciences,2,4.0,3.0,4.0,3.0
2,3.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
2,,,,,,,,,,,,,,,
1,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,False,,,,,,
1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,3.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,
1,,,,,,,,,,,,,,,
1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
6,258.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
15,57.0,408.0,0.0,0.0,0.0,3.0,0.0,0.0,False,,,,,,
2,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,8.0,264.0,0.0,0.0,0.0,0.0,12.0,0.0,True,,,,,,
6,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
3,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,324.0,3.0,0.0,0.0,0.0,3.0,12.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
4,48.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
2,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,True,,,,,,
1,,,,,,,,,,,,,,,
